,0
2022-01-21 00:00:00,1.9025
2022-01-21 01:00:00,0.9475
2022-01-21 02:00:00,0.8200000000000001
2022-01-21 03:00:00,0.805
2022-01-21 04:00:00,0.845
2022-01-21 05:00:00,1.507499999999999
2022-01-21 06:00:00,0.7575000000000001
2022-01-21 07:00:00,1.3575
2022-01-21 08:00:00,0.8825000000000001
2022-01-21 09:00:00,1.5225
2022-01-21 10:00:00,2.355
2022-01-21 11:00:00,2.395
2022-01-21 12:00:00,2.285
2022-01-21 13:00:00,2.3525
2022-01-21 14:00:00,2.452499999999999
2022-01-21 15:00:00,2.372499999999999
2022-01-21 16:00:00,2.3925
2022-01-21 17:00:00,2.6375
2022-01-21 18:00:00,2.305
2022-01-21 19:00:00,2.34
2022-01-21 20:00:00,2.55
2022-01-21 21:00:00,2.3925
2022-01-21 22:00:00,2.185
2022-01-21 23:00:00,2.46
2022-01-22 00:00:00,1.8725
2022-01-22 01:00:00,0.855
2022-01-22 02:00:00,0.7575000000000001
2022-01-22 03:00:00,1.3900000000000001
2022-01-22 04:00:00,0.85
2022-01-22 05:00:00,1.3175
2022-01-22 06:00:00,0.7475
2022-01-22 07:00:00,1.299999999999999
2022-01-22 08:00:00,0.8300000000000001
2022-01-22 09:00:00,1.2225000000000001
2022-01-22 10:00:00,1.045
2022-01-22 11:00:00,2.469999999999999
2022-01-22 12:00:00,1.9849999999999999
2022-01-22 13:00:00,2.2425
2022-01-22 14:00:00,2.305
2022-01-22 15:00:00,2.242499999999999
2022-01-22 16:00:00,2.2925
2022-01-22 17:00:00,2.6
2022-01-22 18:00:00,2.10355
2022-01-22 19:00:00,2.0371
2022-01-22 20:00:00,2.0371
2022-01-22 21:00:00,2.0371
2022-01-22 22:00:00,2.0371
2022-01-22 23:00:00,2.0371
2022-01-23 00:00:00,2.0371
2022-01-23 01:00:00,2.0371
2022-01-23 02:00:00,2.0371
2022-01-23 03:00:00,2.0371
2022-01-23 04:00:00,2.0371
2022-01-23 05:00:00,2.0371
2022-01-23 06:00:00,2.0371
2022-01-23 07:00:00,2.0371
2022-01-23 08:00:00,2.0371
2022-01-23 09:00:00,2.0371
2022-01-23 10:00:00,2.0371
2022-01-23 11:00:00,2.0371
2022-01-23 12:00:00,2.0371
2022-01-23 13:00:00,2.0371
2022-01-23 14:00:00,2.0371
2022-01-23 15:00:00,2.0371
2022-01-23 16:00:00,2.0371
2022-01-23 17:00:00,2.0371
2022-01-23 18:00:00,2.0371
2022-01-23 19:00:00,2.0371
2022-01-23 20:00:00,2.0371
2022-01-23 21:00:00,2.0371
2022-01-23 22:00:00,2.0371
2022-01-23 23:00:00,2.0371
2022-01-24 00:00:00,2.0371
2022-01-24 01:00:00,2.0371
2022-01-24 02:00:00,2.0371
2022-01-24 03:00:00,2.0371
2022-01-24 04:00:00,2.0371
2022-01-24 05:00:00,2.0371
2022-01-24 06:00:00,2.0371
2022-01-24 07:00:00,2.0371
2022-01-24 08:00:00,2.0371
2022-01-24 09:00:00,2.0371
2022-01-24 10:00:00,2.0371
2022-01-24 11:00:00,2.0371
2022-01-24 12:00:00,2.0371
2022-01-24 13:00:00,2.0371
2022-01-24 14:00:00,2.0371
2022-01-24 15:00:00,2.0371
2022-01-24 16:00:00,2.0371
2022-01-24 17:00:00,2.0371
2022-01-24 18:00:00,2.0371
2022-01-24 19:00:00,2.0371
2022-01-24 20:00:00,2.0371
2022-01-24 21:00:00,2.0371
2022-01-24 22:00:00,2.0371
2022-01-24 23:00:00,2.0371
